ID,Subsystem,Component,Failure Mode,Cause,Effect on System,Severity,Occurrence,Detection,RPN,Current Controls,Recommended Action
H-001,Hall Sensor,Signal Wire,Wire break / open circuit,Vibration fatigue at solder joint or connector,RPM reads zero; control loop assumes engine stall and drives actuator to low ratio or safe state,7,4,3,84,Interrupt-driven edge counting detects absence of pulses,Add strain relief and locking connectors; implement RPM timeout fault flag in firmware
H-002,Hall Sensor,Signal Wire,Intermittent connection,Loose connector or cracked solder joint from vibration,Sporadic RPM spikes or dropouts causing erratic ratio changes,6,5,5,150,None currently,Use shielded cable with Deutsch DT connector; add median filter on RPM readings
H-003,Hall Sensor,Sensor Element,Electrical noise on signal line,EMI from alternator or relay switching coupling into sensor wire,False edge counts inflate RPM reading; actuator drives to wrong ratio,5,5,5,125,None currently,Route sensor wire away from power lines; add 100nF bypass cap at MCU pin; implement software debounce or minimum pulse width filter
H-004,Hall Sensor,Magnet,Magnet detaches from flywheel,Adhesive failure under heat and vibration,RPM reads zero permanently; system enters safe state,8,2,4,64,None currently,Use mechanical retention (clip or pocket) in addition to adhesive; add RPM loss fault code
H-005,Hall Sensor,Sensor Element,Sensor output stuck HIGH or LOW,Internal Hall IC failure or supply voltage loss,RPM reads zero (stuck LOW) or maximum (stuck HIGH); actuator driven to extreme,7,2,5,70,None currently,Add RPM plausibility check (compare against expected range for throttle position); add pull-down resistor for defined idle state
P-001,Potentiometer,Wiper,Wiper stuck at fixed position,Contamination or mechanical wear of resistive element,Mode selection locked to one value; driver cannot change operating mode,4,3,3,36,Analog read on pin A8,Add mode override via secondary input or serial command; alert driver via LED indicator
P-002,Potentiometer,Signal Wire,Wire break on signal line,Vibration or connector failure,ADC reads 0V or floats; mode jumps to undefined value,5,3,4,60,None currently,Add bounds checking in firmware; default to safe mode on out-of-range reading; use locking connector
P-003,Potentiometer,Wiper,Intermittent wiper contact,Worn resistive track or dirty wiper,Mode selection flickers rapidly between values causing control instability,5,4,5,100,None currently,Add hysteresis and averaging filter on ADC reads; require sustained reading before mode change
P-004,Potentiometer,Signal Wire,Short to ground or VCC,Insulation damage from abrasion or pinch,ADC reads rail voltage; mode forced to extreme setting,4,2,3,24,None currently,Add voltage divider limits check; reject readings within 2% of rail voltages as fault
A-001,Actuator,DC Motor,Motor stall under load,Mechanical binding or excessive CVT belt tension,Actuator draws 10-15A stall current; relay contacts overheat; ratio stuck,8,4,4,128,20A main fuse,Add software stall detection (monitor position feedback for movement within timeout); add per-actuator fuse or current sense
A-002,Actuator,Feedback Potentiometer,Feedback wire break,Vibration fatigue on internal pot leads,Position feedback lost; control loop cannot determine actuator position; may overshoot,7,3,5,105,Analog read on pin A1,Add feedback plausibility check; halt actuator if feedback is at rail or changes impossibly fast; add redundant limit switches
A-003,Actuator,Leadscrew,Over-extension past mechanical limit,Software position limit failure or feedback calibration drift,Actuator internal gear damage; permanent mechanical failure,8,2,4,64,Software position limits,Add physical hard stops; add both software and hardware limit detection; recalibrate on startup
A-004,Actuator,Gearbox,Mechanical jam / seized leadscrew,Mud or debris ingress into actuator housing,Ratio locked at current position; stall current drawn continuously,7,3,5,105,None currently,Add protective boot or bellows over actuator; implement stall current timeout to disable drive
A-005,Actuator,DC Motor,Motor winding open circuit,Thermal damage from repeated stall or manufacturing defect,Actuator unresponsive; ratio stuck at last position,7,2,6,84,None currently,Implement movement verification after each command; alert driver if actuator non-responsive
A-006,Actuator,Feedback Potentiometer,Feedback signal noise,Vibration-induced wiper bounce or EMI on analog line,Position reading jitters causing actuator oscillation (hunting),5,5,4,100,None currently,Add RC low-pass filter on A1 (10k/100nF); apply exponential moving average in firmware; add deadband to position control
R-001,Relay H-Bridge,Relay K1 (Extend),Relay contacts welded closed (stuck ON),Inrush current or stall current exceeding relay rating,Actuator drives in one direction uncontrollably; potential over-extension,9,3,6,162,Active LOW control on pin 3,Add relay feedback contact monitoring; implement watchdog that verifies relay state matches command; size relays for stall current with margin
R-002,Relay H-Bridge,Relay K2 (Retract),Relay contacts welded closed (stuck ON),Inrush current or stall current exceeding relay rating,Actuator drives in one direction uncontrollably; potential over-retraction,9,3,6,162,Active LOW control on pin 4,Add relay feedback contact monitoring; implement watchdog that verifies relay state matches command; size relays for stall current with margin
R-003,Relay H-Bridge,Both Relays,Both relays energized simultaneously (shoot-through),Software bug or MCU pin glitch during reset,Direct short across 12V supply through actuator motor; massive current draw; fuse blow or fire risk,10,2,5,100,Software deadtime delay between relay transitions,Add hardware interlock (series diode logic or NAND gate) preventing simultaneous activation; enforce minimum 50ms deadtime in firmware; verify with scope during testing
R-004,Relay H-Bridge,Relay Coil,Relay coil open circuit (stuck OFF),Coil wire fatigue or driver transistor failure,Actuator cannot move in one direction; only single-direction control remains,6,2,5,60,None currently,Add relay coil diagnostic (read back relay state pin); alert on inability to actuate
R-005,Relay H-Bridge,Flyback Diode,Flyback diode failure,Diode degradation from repeated inductive kicks,Voltage spike on MCU GPIO pin when relay de-energizes; potential MCU damage,8,2,7,112,Flyback diodes on relay coils,Use TVS diode in addition to standard flyback; verify diode rating exceeds coil energy; add series resistor on MCU GPIO for protection
PW-001,Power System,20A Fuse,Fuse blown,Stall current or short circuit in wiring harness,Complete loss of 12V power; actuator and relay logic dead; eCVT inoperable,8,3,2,48,20A fuse is the protection itself,Carry spare fuses; add LED fuse indicator; verify wiring harness for chafe points before each event
PW-002,Power System,Alternator,Alternator output loss,Belt slip or alternator failure,Battery drains; 12V rail drops; system brownout and eventual shutdown,9,2,4,72,None currently,Add battery voltage monitoring on spare ADC pin; alert driver at low voltage; ensure battery can sustain system for remainder of run
PW-003,Power System,Buck Converter (12V to 5V),Buck converter failure,Input overvoltage from load dump or thermal shutdown,5V rail lost; Teensy and Pi lose power; complete control loss,9,2,5,90,None currently,Add input TVS diode on buck converter; use automotive-rated converter; add bulk capacitor on 5V output for ride-through
PW-004,Power System,12V Rail,Brownout / voltage sag,High current draw from actuator stall coinciding with other loads,Teensy resets or exhibits undefined behavior; actuator state unknown on reboot,8,4,5,160,None currently,Add 100uF bulk capacitor near Teensy VIN; implement graceful startup sequence with actuator position verification; add voltage monitoring
PW-005,Power System,Wiring Harness,Wire chafe / short to chassis,Vibration causing wire abrasion against frame tube,Short circuit blows fuse or causes localized fire risk,9,3,5,135,20A fuse,Use split loom or braided sleeve on all harness runs; secure with adhesive-lined zip ties at 150mm intervals; inspect before each event
PW-006,Power System,Connectors,Connector backs out or corrodes,Vibration and moisture exposure,Intermittent power or signal loss to any subsystem,6,5,5,150,None currently,Use Deutsch DT or Weather Pack connectors throughout; apply dielectric grease; add secondary locking clips
MCU-001,MCU,Teensy 4.1,Firmware crash / hard fault,Null pointer dereference or stack overflow or unhandled exception,All control outputs freeze at last state or go to reset defaults; actuator may continue driving,9,3,5,135,None currently,Enable hardware watchdog timer (WDT) with 500ms timeout; implement safe-state on WDT reset (both relays OFF)
MCU-002,MCU,Teensy 4.1,Watchdog reset during normal operation,ISR taking too long or blocking code in main loop,System resets unexpectedly; brief loss of control; actuator stops then resumes from unknown state,7,3,4,84,None currently,Profile ISR execution time; keep ISRs minimal; feed watchdog from main loop only when all health checks pass
MCU-003,MCU,Teensy 4.1,GPIO pin latch-up,ESD event or voltage spike on I/O pin,Pin output stuck HIGH or LOW regardless of software control; relay may stay energized,9,2,7,126,None currently,Add series resistors (220 ohm) on relay drive pins; add ESD protection diodes on all external-facing pins
MCU-004,MCU,Teensy 4.1,ADC peripheral failure,Electrical overstress or silicon defect,Position feedback and potentiometer reads return garbage; control loop fails,8,1,6,48,None currently,Add sanity check on ADC values (must be within calibrated range); cross-reference multiple ADC channels for consistency
MCU-005,MCU,Teensy 4.1,Clock source failure,Crystal oscillator cracked by vibration,MCU runs at wrong speed or stops; all timing including RPM measurement corrupted,9,1,7,63,None currently,Use internal RC oscillator as fallback; conformal coat crystal and nearby passives; mount Teensy with vibration isolation
SW-001,Software,RPM Calculation,RPM calculation error,Integer overflow or divide-by-zero on very low RPM,Computed RPM is nonsensical (negative or extremely large); actuator driven to wrong ratio,7,3,4,84,None currently,Use unsigned 32-bit math; guard against zero period; clamp RPM to valid range (0-4500 RPM); log fault if out of bounds
SW-002,Software,Position Control,Actuator position overshoot,PID gains too aggressive or control loop rate too slow,Actuator oscillates around target; excessive mechanical wear; unpredictable ratio,5,5,3,75,None currently,Tune PID with step response testing; add derivative gain limiting; implement position deadband of +/- 1mm
SW-003,Software,Relay Control,Deadtime violation in software,Race condition between extend and retract commands,Both relays briefly energized simultaneously; shoot-through current spike,10,2,4,80,Software deadtime logic,Add hardware interlock; enforce state machine with mandatory OFF state between direction changes; unit test relay sequencing
SW-004,Software,Main Loop,Main loop stall / infinite loop,Unhandled edge case or blocking I/O call,Watchdog fires if enabled; otherwise system hangs with outputs frozen,8,3,5,120,None currently,Enable watchdog; use non-blocking I/O throughout; add loop timing diagnostic; break complex operations into state machines
SW-005,Software,Startup Sequence,Actuator moves on power-up before calibration,No startup position check; GPIO defaults to active state,Actuator slams to one end on boot before code initializes,8,3,3,72,None currently,Set relay pins to INPUT (high-impedance) at very start of setup(); read position before enabling outputs; add startup self-test
SW-006,Software,ISR,ISR re-entrancy or priority inversion,Nested interrupts or long-running ISR blocking higher-priority tasks,RPM count corrupted or timing jitter on control loop; erratic behavior,6,3,6,108,None currently,Keep Hall sensor ISR to bare minimum (increment counter and timestamp only); disable nested interrupts; use volatile variables correctly
C-001,Communication,USB Serial to Pi,USB cable disconnect,Vibration or connector fatigue,Data logging lost; no impact on eCVT control function,3,4,2,24,None currently,Use USB cable with screw-lock or strain relief; log buffer data locally on Teensy SD card as backup
C-002,Communication,USB Serial to Pi,Serial buffer overflow on Pi,Pi logging software falls behind or crashes,Logged data has gaps or is corrupted; no impact on control,3,3,4,36,None currently,Implement flow control or circular buffer; add sequence numbers to serial packets for gap detection
C-003,Communication,Raspberry Pi 4B,Pi crashes or freezes,SD card corruption or kernel panic or overheating,Data logging lost entirely; no impact on eCVT control,4,4,3,48,None currently,Use reliable SD card (SanDisk Endurance); add Pi health heartbeat monitored by Teensy; enable Pi watchdog
C-004,Communication,LoRa Radio,LoRa module not yet implemented,Feature not developed,No pit telemetry available; pit crew has no real-time data,3,10,1,30,Not implemented,Prioritize LoRa implementation; use SX1276 module on SPI; define minimal telemetry packet format
C-005,Communication,LoRa Radio,LoRa signal loss during race,Distance or terrain or interference at 915MHz,Pit crew loses telemetry; no impact on vehicle operation,2,7,2,28,None currently,Add local data logging as primary record; use LoRa as supplementary; implement packet acknowledgment and retry
E-001,Environmental,Entire System,Water and mud ingress,Driving through mud pits and water crossings (typical Baja SAE),Corrosion of connectors; short circuits; sensor contamination,8,7,6,336,None currently,Use IP67-rated enclosure for MCU and relays; conformal coat all PCBs; use sealed connectors throughout; drain holes in enclosure bottom
E-002,Environmental,Entire System,Excessive vibration,Rough terrain and suspension impacts typical of Baja SAE,Connector loosening; solder joint fatigue; component fatigue failure,7,8,6,336,None currently,Use vibration-dampening mounts for electronics enclosure; lock all connectors; stress-relieve all wiring; use through-hole or robust SMD soldering; vibration test on shaker before competition
E-003,Environmental,Actuator and Wiring,Excessive heat from engine bay,Proximity to engine and CVT during sustained operation,Actuator motor derating; insulation degradation; connector softening,6,5,6,180,None currently,Add heat shield between engine and electronics; verify actuator temperature rating; route wiring away from exhaust; use high-temp wire (XLPE or silicone)
E-004,Environmental,Hall Sensor and MCU,EMI from alternator and ignition,Alternator ripple and spark plug discharge coupling into signal wires,Noise on RPM signal and ADC readings; erratic control behavior,6,6,5,180,None currently,Use shielded cable for all sensor lines; add ferrite cores on power and signal entries to enclosure; use star grounding topology; add bypass caps at MCU pins
E-005,Environmental,Connectors and PCB,Thermal cycling stress,Repeated cold start to hot operation cycles over competition weekend,Solder joint cracking; connector seal degradation; intermittent faults,5,5,7,175,None currently,Use lead-free solder with adequate thermal cycling rating; conformal coat PCBs; use connectors rated for automotive temperature range (-40C to 125C)
E-006,Environmental,Entire System,Dust and fine debris accumulation,Dry course conditions with airborne particulate,Potentiometer contamination; cooling blockage on buck converter; connector contamination,4,6,6,144,None currently,Seal all enclosures; use dust caps on unused connectors; add filtered ventilation if enclosure needs airflow
INT-001,Integration,System Level,Ground loop between Teensy and Pi,Separate power return paths creating voltage differential,Serial communication errors; ADC offset errors; intermittent resets,5,4,6,120,None currently,Use single-point star ground; connect Teensy and Pi grounds at one point near power source; use isolated USB if needed
